Position,Stat,Significance_Window,RMSE_Point_Estimate,RMSE_CI_Lower,RMSE_CI_Upper,Concordance_Point_Estimate,Concordance_CI_Lower,Concordance_CI_Upper,N_Seasons,Breakout_AUC_B,Breakout_AUC_P,Bust_AUC_B,Bust_AUC_P,Concordance_Point_Estimate_BiasCorrected,Concordance_CI_Lower_BiasCorrected,Concordance_CI_Upper_BiasCorrected,Family_Id,Family_Size,Predicted_Direction,Contradicts_Prediction,Breakout_AUC_Q,Bust_AUC_Q,CI_Margin_From_Zero_BiasCorrected,Excludes_Zero_BiasCorrected,Boundary_Noise
TE,Rec_First_Downs_PG,6,NA,NA,NA,0.0253,-0.0411,0.1072,12,0.458,0.358639170461243,0.543,0.504879873834092,0.0214692,-0.0449308,0.1033692,1,10,positive,FALSE,0.5878462357954545,0.9536619839088405,0.0449308,FALSE,FALSE
TE,Targets_PG,6,NA,NA,NA,0,-0.0303,0.0263,12,0.469,0.475532659596901,0.497,0.755540778078535,-0.0038308,-0.0341308,0.0224692,1,10,positive,TRUE,0.6415916835831205,1,0.0224692,FALSE,FALSE
TE,Air_Yards_Share,6,NA,NA,NA,0.0127,0,0.039,12,0.455,0.15445188236025,0.529,0.624663701407124,0.0088692,-0.0038308,0.0351692,1,10,positive,FALSE,0.43761366668737506,0.9832669374001027,0.0038308,FALSE,FALSE
TE,WOPR,6,NA,NA,NA,0,-0.0308,0.0294,12,0.456,0.343252562436031,0.537,0.540817904242618,-0.0038308,-0.0346308,0.0255692,1,10,positive,TRUE,0.5878462357954545,0.9832669374001027,0.0255692,FALSE,FALSE
TE,RZ_Targets_PG,6,NA,NA,NA,0.0253,0,0.0526,12,0.477,0.791015625,0.484,0.0590582290905367,0.0214692,-0.0038308,0.0487692,1,10,positive,FALSE,0.8731990665584416,0.33466329817970797,0.0038308,FALSE,FALSE
TE,EZ_Targets_PG,6,NA,NA,NA,0.0759,-0.0456,0.2024,12,0.558,0.30126953125,0.548,0.220671361919847,0.0720692,-0.0494308,0.1985692,2,1,positive,FALSE,0.5428600674426397,0.6252355254395665,0.0494308,FALSE,FALSE
TE,Rec_Yards,6,NA,NA,NA,0.0506,-0.0455,0.1251,12,0.537,0.475532659596901,0.632,0.0559296803251122,0.0467692,-0.0493308,0.1212692,1,10,positive,FALSE,0.6415916835831205,0.33466329817970797,0.0493308,FALSE,FALSE
TE,Targets,6,NA,NA,NA,-0.0253,-0.0676,0.0137,12,0.467,0.118990720893124,0.559,0.197104590080274,-0.0291308,-0.0714308,0.0098692,1,10,positive,TRUE,0.4230205829326923,0.5953663793103448,0.0098692,FALSE,FALSE
TE,Yards_Per_Target,12,NA,NA,NA,-0.0122,-0.0779,0.0474,12,0.49,0.683480902201426,0.478,0.00915168885265007,-0.0160308,-0.0817308,0.0435692,3,3,uncertain,FALSE,0.7850794146908272,0.11265345982142869,0.0435692,FALSE,FALSE
TE,Catch_Rate,12,NA,NA,NA,0.0061,-0.044,0.0548,12,0.469,0.123534253752569,0.496,0.154655902962024,0.0022692,-0.0478308,0.0509692,4,1,uncertain,FALSE,0.4230205829326923,0.5715544239900887,0.0478308,FALSE,FALSE
TE,Games_Played,12,NA,NA,NA,-0.0244,-0.0639,0.0145,12,0.521,0.563317799720071,0.545,0.67724609375,-0.0282308,-0.0677308,0.0106692,5,1,null_control,FALSE,0.7025588768115941,1,0.0106692,FALSE,FALSE
TE,Receiving_EPA,12,NA,NA,NA,-0.0122,-0.0552,0.0217,12,0.452,0.0329693812442201,0.519,0.838256486385826,-0.0160308,-0.0590308,0.0178692,3,3,uncertain,FALSE,0.40034248653695836,1,0.0178692,FALSE,FALSE
TE,Receiving_aDOT,12,NA,NA,NA,0.0061,-0.0261,0.035,12,0.475,0.610298655976554,0.504,0.624148799007682,0.0022692,-0.0299308,0.0311692,6,4,uncertain,FALSE,0.7275474480250397,0.9832669374001027,0.0299308,FALSE,FALSE
TE,Yards_Per_Reception,12,NA,NA,NA,-0.0183,-0.0548,0.013,12,0.468,0.123025193973171,0.464,0.0144832770523174,-0.0221308,-0.0586308,0.0091692,3,3,uncertain,FALSE,0.4230205829326923,0.13678650549410878,0.0091692,FALSE,FALSE
TE,YAC_Share,12,NA,NA,NA,0.0183,-0.0064,0.0435,12,0.53,0.449803788345075,0.503,1,0.0144692,-0.0102308,0.0396692,6,4,uncertain,FALSE,0.6267757706447766,1,0.0102308,FALSE,FALSE
TE,Avg_Separation,12,NA,NA,NA,0.0187,-0.0306,0.0661,9,0.328,0.09765625,0.441,0.0975125381781096,0.0181934,-0.0311066,0.0655934,6,4,uncertain,FALSE,0.4230205829326923,0.4362403023757535,0.0311066,FALSE,FALSE
TE,Avg_Cushion,12,NA,NA,NA,0.0187,-0.0636,0.1019,9,0.55,0.0142661867014469,0.478,0.587936746173566,0.0181934,-0.0641066,0.1013934,7,1,uncertain,FALSE,0.30315646740574664,0.9832669374001027,0.0641066,FALSE,FALSE
TE,Avg_Intended_Air_Yards,12,NA,NA,NA,-0.028,-0.0834,0.0171,9,0.438,0.183430618982178,0.486,0.674141654992705,-0.0285066,-0.0839066,0.0165934,6,4,uncertain,FALSE,0.47247280646924633,1,0.0165934,FALSE,FALSE
TE,Pct_Share_Intended_Air_Yards,6,NA,NA,NA,-0.0392,-0.082,0,9,0.341,0.49609375,0.608,0.0969076798722545,-0.0397066,-0.0825066,-5.066e-4,1,10,positive,TRUE,0.6487379807692307,0.4362403023757535,5.066e-4,TRUE,TRUE
TE,YAC_Above_Expectation,12,NA,NA,NA,0.0935,0.0215,0.1681,9,0.48,0.109433022036802,0.527,0.183430618982178,0.0929934,0.0209934,0.1675934,8,1,uncertain,FALSE,0.4230205829326923,0.5953663793103448,0.0209934,TRUE,FALSE
